,Spółka,Rodzaj,Cena aktualna,Cena docelowa,Potencjał zmiany ceny,Cena w dniu publ.,Instytucja,Data publ.,Raport
257,SELENAFM (SEL),Kupuj,36.1,40.4,0.1191,25.4,Trigon DM,2023-09-14,
258,ATMGRUPA (ATG),Kupuj,4.46,4.51,0.011200000000000002,3.29,DM BDM,2023-09-14,
259,AGORA (AGO),Kupuj,11.26,10.46,-0.071,7.84,DM BDM,2023-09-13,
260,ZUE (ZUE),Kupuj,10.8,7.76,-0.2815,5.62,DM BDM,2023-09-12,
261,CLOUD (CLD),Wycena,76.0,88.0,0.15789999999999998,94.0,DM BOŚ,2023-09-11,
262,SCPFL (SCP)*,Kupuj,167.0,235.8,0.41200000000000003,165.0,Ipopema Securities,2023-09-11,
263,CYBERFLKS (CBF),Kupuj,125.0,95.0,-0.24,81.0,BM mBank,2023-09-11,
264,VERCOM (VRC),Trzymaj,135.5,67.4,-0.5025999999999999,69.4,BM mBank,2023-09-11,
265,PGE (PGE),Kupuj,6.91,11.0,0.5928,7.57,DM BOŚ,2023-09-11,
266,BOWIM (BOW),Wycena,6.7,6.9,0.029900000000000003,7.05,DM BOŚ,2023-09-11,
267,ZEPAK (ZEP),Trzymaj,18.9,20.6,0.08990000000000001,20.2,BM Banku Pekao,2023-09-11,
268,ATENDE (ATD),Kupuj,3.0,4.8,0.6,2.9,BM Banku Pekao,2023-09-11,
269,SECOGROUP (SWG)*,Kupuj,33.0,33.33,0.01,26.0,Erste,2023-09-08,
270,IFIRMA (IFI),Akumuluj,23.4,36.6,0.5640999999999999,33.3,Millennium DM,2023-09-08,
271,SKARBIEC (SKH),Kupuj,24.2,32.0,0.3223,20.4,BM Banku Pekao,2023-09-08,
272,QUERCUS (QRS),Kupuj,6.2,5.3,-0.1452,4.03,BM Banku Pekao,2023-09-08,
273,STALPROFI (STF),Sprzedaj,9.32,8.0,-0.1416,8.64,BM Banku Pekao,2023-09-08,
274,IMS (IMS),Kupuj,4.38,3.8,-0.1324,2.8,Millennium DM,2023-09-08,
275,MABION (MAB),Wycena,16.98,22.9,0.3486,17.96,Noble Securities,2023-09-08,
276,MLPGROUP (MLG)*,Kupuj,83.0,115.0,0.38549999999999995,78.2,BM PKO BP,2023-09-08,
277,MARVIPOL (MVP),Kupuj,7.16,10.49,0.46509999999999996,8.0,Ipopema Securities,2023-09-07,
278,MERCOR (MCR),Kupuj,24.8,37.0,0.4919,25.2,BM Banku Pekao,2023-09-06,
279,WARIMPEX (WXF),Wycena,3.69,8.99,1.4363,4.9,East Value Research,2023-09-05,
280,SYNEKTIK (SNT),Kupuj,132.6,87.0,-0.3439,72.6,BM mBank,2023-09-05,
281,NEWAG (NWG),Przeważaj,31.1,25.0,-0.1961,18.2,Santander BM,2023-09-05,
282,WARIMPEX (WXF),,3.69,2.11,-0.4282,4.78,East Value Research,2023-09-05,
283,PEPCO (PCO),Kupuj,22.25,42.1,0.8920999999999999,32.7,Noble Securities,2023-09-04,
284,VINDEXUS (VIN),Kupuj,9.6,13.9,0.44789999999999996,8.1,East Value Research,2023-09-04,
285,XTPL (XTP),Kupuj,125.4,216.0,0.7225,165.0,Erste,2023-08-31,
286,SYNEKTIK (SNT),Kupuj,132.6,95.5,-0.2798,67.6,East Value Research,2023-08-31,
287,ARTIFEX (ART),Kupuj,22.8,22.8,,17.6,DM BDM,2023-08-30,
288,AILLERON (ALL),Kupuj,17.4,26.0,0.4943,18.4,Trigon DM,2023-08-30,
289,ENTER (ENT)*,Kupuj,67.2,59.8,-0.1101,43.5,DM BDM,2023-08-29,
290,SYNEKTIK (SNT),Kupuj,132.6,87.0,-0.3439,68.6,BM mBank,2023-08-28,
291,WIRTUALNA (WPL),Akumuluj,106.4,129.1,0.2133,114.2,DM BDM,2023-08-28,
292,ASBIS (ASB),Wycena,24.24,67.0,1.764,28.74,Argus Research,2023-08-25,
293,OPONEO.PL (OPN)*,Kupuj,76.2,51.0,-0.3307,43.0,BM PKO BP,2023-08-23,
294,ORANGEPL (OPL),Kupuj,7.65,8.87,0.1589,6.83,DM BDM,2023-08-21,
295,NEUCA (NEU),Kupuj,927.0,855.0,-0.07769999999999999,750.0,DM BOŚ,2023-08-17,
296,INTERCARS (CAR),Trzymaj,547.0,595.0,0.08779999999999999,589.0,DM BOŚ,2023-08-16,
297,BOGDANKA (LWB),Sprzedaj,29.94,33.0,0.10220000000000001,35.52,DM BOŚ,2023-08-16,
298,SECOGROUP (SWG),Kupuj,33.0,33.32,0.0097,27.8,Erste,2023-08-16,
299,ABPL (ABE),Kupuj,104.0,82.6,-0.20579999999999998,59.6,DM BOŚ,2023-08-11,
300,BOGDANKA (LWB),Akumuluj,29.94,42.28,0.4122,36.2,Noble Securities,2023-08-04,
301,SNIEZKA (SKA),Akumuluj,89.4,79.9,-0.1063,72.8,DM BDM,2023-08-04,
302,VOXEL (VOX)*,Kupuj,93.2,66.3,-0.28859999999999997,53.6,DM BOŚ,2023-08-03,
303,FERRO (FRO)*,Trzymaj,38.7,30.1,-0.22219999999999998,30.0,DM BOŚ,2023-08-01,
304,ARCHICOM (ARH),Kupuj,36.0,35.0,-0.0278,26.1,Trigon DM,2023-07-31,
305,CDPROJEKT (CDR),Trzymaj,143.8,152.0,0.057,164.4,DM BOŚ,2023-07-31,
306,CCC (CCC),Kupuj,123.0,63.9,-0.4805,49.3,BM mBank,2023-07-27,
307,CYFRPLSAT (CPS),Trzymaj,12.18,16.7,0.3711,16.2,DM BOŚ,2023-07-26,
308,STSHOLDING (STH),Sprzedaj,24.6,24.8,0.008100000000000001,24.6,DM BOŚ,2023-07-25,
309,BUDIMEX (BDX),Redukuj,695.5,376.5,-0.4587,443.5,DM BDM,2023-07-25,
310,RAINBOW (RBW),Kupuj,113.0,65.0,-0.42479999999999996,42.9,Trigon DM,2023-07-25,
311,DADELO (DAD)*,Kupuj,19.7,20.0,0.0152,15.45,Trigon DM,2023-07-24,
312,MOBRUK (MBR),Kupuj,317.0,372.0,0.17350000000000002,271.5,BM mBank,2023-07-24,
313,FABRITY (FAB)*,Trzymaj,34.0,37.0,0.0882,36.8,Trigon DM,2023-07-24,
314,VERCOM (VRC),Trzymaj,135.5,71.7,-0.4708,69.8,DM BOŚ,2023-07-24,
315,DEVELIA (DVL),Kupuj,5.6,5.5,-0.0179,4.81,Trigon DM,2023-07-24,
316,MILLENNIUM (MIL),Kupuj,8.91,7.86,-0.1173,6.61,DM BOŚ,2023-07-22,
317,11BIT (11B),Kupuj,642.0,875.0,0.3629,713.0,DM BDM,2023-07-21,
318,FORTE (FTE),Akumuluj,21.9,31.0,0.4155,28.6,Noble Securities,2023-07-20,
319,NOVAVISGR (NVG),Kupuj,2.26,3.89,0.7212000000000001,1.77,Erste,2023-07-19,
320,TEXT (TXT),Trzymaj,78.7,137.5,0.7471,148.2,DM BOŚ,2023-07-14,
321,PKNORLEN (PKN),Kupuj,67.68,95.5,0.4111,65.51,DM BOŚ,2023-07-11,
322,NEUCA (NEU),Kupuj,927.0,939.0,0.0129,764.0,DM BDM,2023-07-10,
323,VOXEL (VOX),Kupuj,93.2,73.8,-0.2082,48.4,East Value Research,2023-07-10,
324,ASSECOBS (ABS),Kupuj,62.2,44.6,-0.28300000000000003,38.6,DM BOŚ,2023-07-07,
325,ANSWEAR (ANR),Kupuj,22.9,48.0,1.0961,36.6,Noble Securities,2023-07-07,
326,KRUK (KRU),Kupuj,452.0,440.73,-0.024900000000000002,412.2,BM mBank,2023-07-05,
327,TSGAMES (TEN),Kupuj,84.55,104.0,0.23,79.35,DM BDM,2023-07-05,
328,CAPTORTX (CTX),Akumuluj,78.6,183.6,1.3359,146.5,Noble Securities,2023-07-05,
329,DATAWALK (DAT)*,Kupuj,65.1,122.0,0.8740000000000001,65.3,DM BOŚ,2023-07-05,
330,OPONEO.PL (OPN),Kupuj,76.2,51.2,-0.3281,43.1,East Value Research,2023-07-04,
331,WITTCHEN (WTN),Akumuluj,32.05,39.5,0.2324,36.6,DM Banku BPS,2023-07-03,
332,HANDLOWY (BHW),Trzymaj,109.0,80.0,-0.2661,87.1,BM mBank,2023-06-30,
333,SNIEZKA (SKA)*,Kupuj,89.4,92.69,0.0368,70.4,Ipopema Securities,2023-06-30,
334,CAPTORTX (CTX)*,Kupuj,78.6,221.0,1.8116999999999999,148.0,Trigon DM,2023-06-29,
335,MOLECURE (MOC)*,Trzymaj,13.9,23.2,0.6690999999999999,21.0,Ipopema Securities,2023-06-29,
336,SFD (SFD)*,Trzymaj,2.19,4.54,1.0731,4.18,Ipopema Securities,2023-06-29,
337,SYNEKTIK (SNT)*,Trzymaj,132.6,75.0,-0.43439999999999995,74.4,Ipopema Securities,2023-06-29,
338,PEP (PEP),Kupuj,64.8,96.7,0.49229999999999996,82.7,Trigon DM,2023-06-26,
339,CYBERFLKS (CBF)*,Kupuj,125.0,88.6,-0.2912,68.8,Trigon DM,2023-06-26,
340,ASSECOSEE (ASE),Trzymaj,51.0,50.0,-0.0196,47.3,DM BOŚ,2023-06-26,
