,Spółka,Rodzaj,Cena aktualna,Cena docelowa,Potencjał zmiany ceny,Cena w dniu publ.,Instytucja,Data publ.,Raport
59,VOXEL (VOX)*,Kupuj,93.2,103.0,0.1052,92.2,DM BOŚ,2024-04-29,
60,MABION (MAB)*,Wycena,16.98,19.0,0.11900000000000001,16.24,Noble Securities,2024-04-29,
61,FORTE (FTE),Trzymaj,21.9,21.1,-0.0365,23.0,DM BOŚ,2024-04-29,
62,LPP (LPP),Kupuj,16880.0,21047.0,0.2469,15550.0,DM BOŚ,2024-04-29,
63,CCC (CCC),Kupuj,123.0,108.8,-0.11539999999999999,87.5,DM BOŚ,2024-04-29,
64,ARCHICOM (ARH),Kupuj,36.0,40.0,0.11109999999999999,34.0,Trigon DM,2024-04-25,
65,DADELO (DAD)*,Kupuj,19.7,23.0,0.1675,17.25,Trigon DM,2024-04-25,
66,ECHO (ECH),Kupuj,4.85,6.0,0.2371,4.91,Trigon DM,2024-04-25,
67,AILLERON (ALL)*,Kupuj,17.4,25.0,0.4368,15.7,Trigon DM,2024-04-25,
68,FABRITY (FAB)*,Trzymaj,34.0,39.0,0.1471,36.8,Trigon DM,2024-04-25,
69,MFO (MFO)*,Kupuj,32.1,49.3,0.5357999999999999,33.6,Trigon DM,2024-04-25,
70,SELENAFM (SEL)*,Kupuj,36.1,46.4,0.2853,32.6,Trigon DM,2024-04-25,
71,PZU (PZU),Kupuj,50.72,58.3,0.1494,50.68,Trigon DM,2024-04-22,
72,ZUE (ZUE)*,Trzymaj,10.8,11.1,0.0278,10.9,DM BDM,2024-04-22,
73,CCC (CCC),Kupuj,123.0,120.0,-0.024399999999999998,82.6,Trigon DM,2024-04-22,
74,ATMGRUPA (ATG)*,Kupuj,4.46,4.91,0.1009,3.2,DM BDM,2024-04-22,
75,BIOTON (BIO)*,Wycena,3.47,4.46,0.2853,3.5,Noble Securities,2024-04-18,
76,KGHM (KGH),Kupuj,150.95,185.0,0.2256,142.4,DM BOŚ,2024-04-18,
77,ORANGEPL (OPL),Kupuj,7.65,9.3,0.2151,7.78,DM BOŚ,2024-04-17,
78,BOGDANKA (LWB),Sprzedaj,29.94,25.0,-0.165,32.72,DM BOŚ,2024-04-17,
79,CAPTORTX (CTX),Kupuj,78.6,131.1,0.6679,79.0,Noble Securities,2024-04-16,
80,TSGAMES (TEN),Trzymaj,84.55,106.0,0.25370000000000004,96.1,DM BOŚ,2024-04-15,
81,SYGNITY (SGN)*,Sprzedaj,62.4,35.8,-0.4263,64.0,BM mBank,2024-04-15,
82,HUUUGE (HUG),Kupuj,23.3,35.2,0.5107,26.4,DM BDM,2024-04-15,
83,JSW (JSW),Sprzedaj,29.6,30.0,0.013500000000000002,35.34,DM BOŚ,2024-04-15,
84,ATENDE (ATD)*,Kupuj,3.0,4.1,0.3667,2.93,BM Banku Pekao,2024-04-15,
85,IFIRMA (IFI)*,Neutralna,23.4,21.4,-0.0855,22.2,Millennium DM,2024-04-12,
86,TOYA (TOA)*,Wycena,8.28,11.5,0.3889,7.14,Noble Securities,2024-04-11,
87,ORANGEPL (OPL),Akumuluj,7.65,9.0,0.1759,8.02,DM BDM,2024-04-10,
88,BRAND24 (B24)*,Wycena,46.9,56.2,0.19829999999999998,48.8,DM BOŚ,2024-04-09,
89,VOXEL (VOX)*,Kupuj,93.2,97.7,0.0483,93.2,DM BOŚ,2024-04-08,
90,MCI (MCI)*,Wycena,26.5,40.7,0.5357999999999999,25.1,Noble Securities,2024-04-05,
91,TORPOL (TOR),Redukuj,36.3,35.5,-0.022000000000000002,35.0,Noble Securities,2024-04-03,
92,BUDIMEX (BDX),Sprzedaj,695.5,630.0,-0.0942,700.0,Trigon DM,2024-04-02,
93,ASSECOSEE (ASE),Trzymaj,51.0,55.0,0.0784,50.0,DM BOŚ,2024-03-28,
94,ASSECOBS (ABS),Trzymaj,62.2,58.0,-0.0675,51.8,DM BOŚ,2024-03-28,
95,FERRO (FRO)*,Kupuj,38.7,39.3,0.0155,33.5,DM BOŚ,2024-03-28,
96,ASBIS (ASB),Wycena,24.24,61.0,1.5165,24.8,Argus Research,2024-03-27,
97,SEKO (SEK)*,Wycena,11.7,18.9,0.6154,12.9,DM BOŚ,2024-03-27,
98,LPP (LPP),Kupuj,16880.0,20000.0,0.1848,13660.0,Trigon DM,2024-03-26,
99,MURAPOL (MUR),Kupuj,37.84,50.0,0.3214,41.37,Trigon DM,2024-03-25,
100,DINOPL (DNP),Akumuluj,416.1,445.1,0.0697,415.0,Noble Securities,2024-03-22,
101,EUROCASH (EUR),Trzymaj,13.2,15.7,0.1894,14.71,Noble Securities,2024-03-22,
102,MARVIPOL (MVP)*,Kupuj,7.16,11.15,0.5573,8.26,Ipopema Securities,2024-03-20,
103,AMBRA (AMB)*,Kupuj,27.2,32.2,0.1838,27.6,Millennium DM,2024-03-18,
104,RAINBOW (RBW),Kupuj,113.0,105.0,-0.0708,76.4,Trigon DM,2024-03-14,
